Center Name,Legal Name,Building,Street,Borough,ZipCode,address,status,street,borough,zip,cb,cwz,latitude,longitude,bbl,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,index_age,indextype,index
A CHILD'S PLACE PRE SCHOOL,"A CHILD'S PLACE TOO,INC",32-20,108 ST,QUEENS,11369,"32-20 108 ST,QUEENS 11369",OK,32-20 108 STREET,QUEENS,11369,403,QN2,40.759337,-73.861284,4017020034,718-565-2170,6966,4/2/2024,Permitted,2 YEARS - 5 YEARS,91,DC2840,PRESCHOOL,GDC,Child Care - Pre School,4535511,www.achildsplacetoo.com,7/6/2001,Y,0,21.905,22,11.9769,0,6.1285,0,18.9541,5,1,17
A CHILD'S PLACE TOO,A CHILD'S PLACE NURSERY,32-20,108 ST,QUEENS,11369,"32-20 108 ST,QUEENS 11369",OK,32-20 108 STREET,QUEENS,11369,403,QN2,40.759337,-73.861284,4017020034,718-565-2170,7386,3/25/2023,Expired-In Renewal,0 YEARS - 2 YEARS,30,DC12223,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,4535511,achildsplacetoo.com,3/14/2005,N,16.6667,17.4391,7,8.4034,16.6667,4.9984,16.6667,15.3835,6,2,34
"A CHILD'S PLACE TOO, INC.","A Child's Place Too, Inc",7501,31ST AVE,QUEENS,11370,"7501 31ST AVE,QUEENS 11370",OK,7501 31 AVENUE,QUEENS,11370,403,QN2,40.758572,-73.89239,4011240001,718-565-2170,105244,9/17/2024,Permitted,2 YEARS - 5 YEARS,83,DC39358,PRESCHOOL,GDC,Child Care - Pre School,4439601,www.achildsplacetoo.com,9/17/2020,Y,33.3333,21.905,10,11.9769,33.3333,6.1285,0,18.9541,5,1,17
"A HOUSE ON BEEKMAN, INC.","A HOUSE ON BEEKMAN, INC.",390,JACKSON AVENUE,BRONX,10454,"390 JACKSON AVENUE,BRONX 10454",OK,390 JACKSON AVENUE,BRONX,10454,201,BX1,40.809134,-73.910554,2025730071,972-841-8120,79237,1/14/2025,Permitted,2 YEARS - 5 YEARS,41,DC31728,PRESCHOOL,GDC,Child Care - Pre School,2003865,www.ahouseonbeekman.org,1/14/2015,Y,28.5714,21.905,8,11.9769,14.2857,6.1285,28.5714,18.9541,5,1,17
"A HOUSE ON BEEKMAN, INC.","A HOUSE ON BEEKMAN, INC.",454,EAST  148 STREET,BRONX,10455,"454 EAST  148 STREET,BRONX 10455",OK,454 EAST  148 STREET,BRONX,10455,201,BX1,40.814678,-73.916598,2022920037,845-397-1952,105552,12/1/2023,Permitted,2 YEARS - 5 YEARS,25,DC39754,PRESCHOOL,GDC,Child Care - Pre School,2117371,www.ahouseonbeekman.org,12/1/2021,Y,50,21.905,3,11.9769,0,6.1285,50,18.9541,5,1,17
A KIDS SPACE TO DREAM,KIDS SPACE BRONX CHILDCARE INC,578,E 138TH ST,BRONX,10454,"578 E 138TH ST,BRONX 10454",OK,578 EAST  138 STREET,BRONX,10454,201,BX1,40.806586,-73.916962,2025500012,917-635-9709,105641,5/19/2024,Permitted,0 YEARS - 2 YEARS,46,DC40808,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,2092841,,5/19/2022,Y,100,17.4391,11,8.4034,100,4.9984,100,15.3835,6,2,34
A KIDS SPACE TO DREAM CHILDCARE,KIDS SPACE BRONX CHILDCARE INC,578,E 138TH ST,BRONX,10454,"578 E 138TH ST,BRONX 10454",OK,578 EAST  138 STREET,BRONX,10454,201,BX1,40.806586,-73.916962,2025500012,917-635-9709,105642,5/19/2024,Permitted,2 YEARS - 5 YEARS,60,DC40807,PRESCHOOL,GDC,Child Care - Pre School,2092841,,5/19/2022,Y,100,21.905,14,11.9769,100,6.1285,100,18.9541,5,1,17
A PLACE OF MIRACLES,"PROJECT YOUTH SUCCESS CHILDCARE, INC.",1838,ADEE  AVENUE,BRONX,10469,"1838 ADEE  AVENUE,BRONX 10469",OK,1838 ADEE AVENUE,BRONX,10469,212,BX2,40.871175,-73.837162,2047910006,347-427-7436,104256,10/13/2023,Permitted,2 YEARS - 5 YEARS,71,DC32490,PRESCHOOL,GDC,Child Care - Pre School,2062621,www.apomiracles.com,10/13/2017,Y,66.6667,21.905,10,11.9769,33.3333,6.1285,66.6667,18.9541,5,1,17
A PLUS KIDZ ACADEMY,A Plus Kidz Academy,10510,FLATLANDS AVENUE,BROOKLYN,11236,"10510 FLATLANDS AVENUE,BROOKLYN 11236",OK,10510 FLATLANDS AVENUE,BROOKLYN,11236,318,BK3,40.647622,-73.894522,3082130038,718-679-0052,,10/27/2115,Active,3 YEARS - 5 YEARS,0,DC35113,PRESCHOOL,SBCC,School Based Child Care,3398452,,,,33.3333,45.1817,8,8.0094,0,23.3017,33.3333,35.2291,8,4,136
A PLUS LEARNING SUMMER DAY CAMP,"A Plus Learning Program, LLC",317,ALBANY AVE,BROOKLYN,11213,"317 ALBANY AVE,BROOKLYN 11213",OK,317 ALBANY AVENUE,BROOKLYN,11213,308,BK3,40.669678,-73.939374,3013880005,646-626-3211,105458,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,0,DC40662,ALL AGE CAMP,Camp,Camp,3037244,,7/30/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
"A TO Z CENTER TOO, INC.","A TO Z CENTER TOO, INC.",220-24,JAMAICA AVENUE,QUEENS,11428,"220-24 JAMAICA AVENUE,QUEENS 11428",OK,220-24 JAMAICA AVENUE,QUEENS,11428,413,QN4,40.719136,-73.733983,4107890271,718-740-8400,7605,6/21/2024,Permitted,2 YEARS - 5 YEARS,170,DC15139,PRESCHOOL,GDC,Child Care - Pre School,4231222,,6/20/2006,Y,25,21.905,24,11.9769,0,6.1285,25,18.9541,5,1,17
A2Z HAPPYLAND DAYCARE,"A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM, INC.",3053,AVENUE U,BROOKLYN,11229,"3053 AVENUE U,BROOKLYN 11229",OK,3053 AVENUE U,BROOKLYN,11229,315,BK5,40.600983,-73.936919,3073400046,718-368-1234,7960,12/5/2024,Permitted,2 YEARS - 5 YEARS,54,DC17883,PRESCHOOL,GDC,Child Care - Pre School,3199284,www.a2zdaycare.com,12/5/2008,Y,0,21.905,9,11.9769,0,6.1285,0,18.9541,5,1,17
A2Z HAPPYLAND II LLC.,A2Z Happyland II,2148,Ocean Avenue,BROOKLYN,11229,"2148 Ocean Avenue,BROOKLYN 11229",OK,2148 OCEAN AVENUE,BROOKLYN,11229,315,BK5,40.609489,-73.953331,3067820038,718-998-7744,105324,9/15/2023,Permitted,6 YEARS - 16 YEARS,0,DC39598,SCHOOL AGE CAMP,Camp,Camp,3000000,www.a2zhappyland.com,5/3/2021,Y,0,26.8868,0,1,0,14.2558,0,21.8553,9,3,260
"A2Z Happyland II, LLC","A2Z Happyland II, LLC",2148,OCEAN AVENUE,BROOKLYN,11229,"2148 OCEAN AVENUE,BROOKLYN 11229",OK,2148 OCEAN AVENUE,BROOKLYN,11229,315,BK5,40.609489,-73.953331,3067820038,718-998-7744,103973,3/16/2025,Permitted,2 YEARS - 5 YEARS,171,DC34220,PRESCHOOL,GDC,Child Care - Pre School,3000000,,3/16/2017,Y,0,21.905,38,11.9769,0,6.1285,0,18.9541,5,1,17
A2Z Happyland III LLC.,A2Z Happyland III LLC.,2737,OCEAN AVENUE,BROOKLYN,11229,"2737 OCEAN AVENUE,BROOKLYN 11229",OK,2737 OCEAN AVENUE,BROOKLYN,11229,315,BK5,40.594411,-73.950457,3074050001,718-758-5400,105799,8/19/2024,Permitted,2 YEARS - 5 YEARS,214,DC40733,PRESCHOOL,GDC,Child Care - Pre School,3202143,www.a2zhappyland.com,8/19/2022,Y,0,21.905,21,11.9769,0,6.1285,0,18.9541,5,1,17
A2Z Happyland III LLC.,A2Z Happyland IIILLC.,2737,OCEAN AVE,BROOKLYN,11229,"2737 OCEAN AVE,BROOKLYN 11229",OK,2737 OCEAN AVENUE,BROOKLYN,11229,315,BK5,40.594411,-73.950457,3074050001,718-758-5400,105814,8/30/2024,Permitted,0 YEARS - 2 YEARS,20,DC40734,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3202143,www.a2zhappyland.com,8/30/2022,Y,,,3,8.4034,,,,,6,2,34
AARON SCHOOL,AARON SCHOOL,309,EAST   45 STREET,MANHATTAN,10017,"309 EAST   45 STREET,MANHATTAN 10017",OK,309 EAST   45 STREET,MANHATTAN,10017,106,MN2,40.751556,-73.970318,1013380005,212-867-9594,,1/22/2117,Active,3 YEARS - 5 YEARS,0,DC36584,PRESCHOOL,SBCC,School Based Child Care,1038770,,,,0,45.1817,6,8.0094,0,23.3017,0,35.2291,8,4,136
"ABC CHILD CENTER, INC","ABC CHILD CENTER,INC",109,NASSAU AVENUE,BROOKLYN,11222,"109 NASSAU AVENUE,BROOKLYN 11222",OK,109 NASSAU AVENUE,BROOKLYN,11222,301,BK1,40.724192,-73.949549,3026480035,718-389-9004,6084,7/3/2024,Permitted,2 YEARS - 5 YEARS,45,DC620,PRESCHOOL,GDC,Child Care - Pre School,3066150,www.ABCchildcenter.com,7/26/2004,N,0,21.905,10,11.9769,0,6.1285,0,18.9541,5,1,17
"ABC CHILD CENTER, INC.","ABC CHILD CENTER, INC.",109,NASSAU AVENUE,BROOKLYN,11222,"109 NASSAU AVENUE,BROOKLYN 11222",OK,109 NASSAU AVENUE,BROOKLYN,11222,301,BK1,40.724192,-73.949549,3026480035,718-389-9004,43577,6/13/2023,Permitted,0 YEARS - 2 YEARS,41,DC20590,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3066150,ABCCHILDCENTER.COM,6/13/2013,Y,20,17.4391,10,8.4034,0,4.9984,20,15.3835,6,2,34
ABC EARLY CHILDHOOD CENTER INC.,ABC EARLY CHILDHOOD CENTER INC.,39-50,DOUGLASTON PARKWAY,QUEENS,11363,"39-50 DOUGLASTON PARKWAY,QUEENS 11363",OK,39-50 DOUGLASTON PARKWAY,QUEENS,11363,411,QN3,40.770345,-73.749982,4080820280,516-779-4341,105541,11/15/2023,Permitted,2 YEARS - 5 YEARS,33,DC40519,PRESCHOOL,GDC,Child Care - Pre School,4438356,,11/15/2021,Y,0,21.905,3,11.9769,0,6.1285,0,18.9541,5,1,17
ABC ECHO PARK EARLY CHILDHOOD CENTER,ASSOCIATION TO BENEFIT CHILDREN,1841,PARK AVENUE,MANHATTAN,10035,"1841 PARK AVENUE,MANHATTAN 10035",OK,1841 PARK AVENUE,MANHATTAN,10035,111,MN6,40.80582,-73.938463,1017750001,646-459-6028,7344,1/29/2024,Permitted,0 YEARS - 2 YEARS,44,DC14505,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,1054495,,1/28/2005,N,0,17.4391,16,8.4034,0,4.9984,0,15.3835,6,2,34
"ABC KIDDIELAND, INC","ABC KIDDIELAND, INC",65-21,ROOSEVELT AVE,QUEENS,11377,"65-21 ROOSEVELT AVE,QUEENS 11377",OK,65-21 ROOSEVELT AVENUE,QUEENS,11377,402,QN1,40.746143,-73.898202,4012230026,718-651-3551,7571,3/20/2024,Permitted,2 YEARS - 5 YEARS,56,DC10481,PRESCHOOL,GDC,Child Care - Pre School,4028089,,3/20/2006,N,20,21.905,5,11.9769,0,6.1285,20,18.9541,5,1,17
ABC LITTLE STAR INC,ABC LITTLE STAR INC.,2345,85 STREET,BROOKLYN,11214,"2345 85 STREET,BROOKLYN 11214",OK,2345 85 STREET,BROOKLYN,11214,311,BK4,40.600575,-73.989942,3068550060,718-265-0156,79417,1/16/2025,Permitted,0 YEARS - 2 YEARS,18,DC32560,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3185233,,1/16/2015,Y,20,17.4391,5,8.4034,0,4.9984,20,15.3835,6,2,34
"ABC LITTLE STAR, INC.",ABC LITTLE STAR INC.,2345,85 STREET,BROOKLYN,11214,"2345 85 STREET,BROOKLYN 11214",OK,2345 85 STREET,BROOKLYN,11214,311,BK4,40.600575,-73.989942,3068550060,718-265-0156,79437,1/16/2025,Permitted,2 YEARS - 5 YEARS,23,DC32561,PRESCHOOL,GDC,Child Care - Pre School,3185233,,1/16/2015,Y,0,21.905,4,11.9769,0,6.1285,0,18.9541,5,1,17
ABC NINOS INC.,ABC NINOS INC.,112-08,37 AVENUE,QUEENS,11368,"112-08 37 AVENUE,QUEENS 11368",OK,112-08 37 AVENUE,QUEENS,11368,403,QN2,40.754455,-73.855581,4017820003,347-242-3587,105792,8/17/2024,Permitted,2 YEARS - 5 YEARS,80,DC39212,PRESCHOOL,GDC,Child Care - Pre School,4618530,,8/17/2022,Y,66.6667,21.905,12,11.9769,33.3333,6.1285,66.6667,18.9541,5,1,17
ABC PLUS,ABC PLUS,3070,BRIGHTON 14TH ST,BROOKLYN,11235,"3070 BRIGHTON 14TH ST,BROOKLYN 11235",OK,3070 BRIGHTON   14 STREET,BROOKLYN,11235,313,BK5,40.578356,-73.955642,3087167501,718-614-6045,105242,9/16/2024,Permitted,2 YEARS - 5 YEARS,118,DC38488,PRESCHOOL,GDC,Child Care - Pre School,3000000,,9/16/2020,Y,33.3333,21.905,18,11.9769,0,6.1285,33.3333,18.9541,5,1,17
ABC PRESCHOOL & KINDERGARTEN CENTER,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-26,LAUREL HILL BOULEVARD,QUEENS,11377,"66-26 LAUREL HILL BOULEVARD,QUEENS 11377",OK,66-26 LAUREL HILL BOULEVARD,QUEENS,11377,402,QN1,40.739778,-73.898071,4024190034,718-672-2424,2098,10/29/2024,Permitted,2 YEARS - 5 YEARS,30,DC1164,PRESCHOOL,GDC,Child Care - Pre School,4056053,abcpreschoolcorp.com,10/29/2004,N,20,21.905,7,11.9769,0,6.1285,20,18.9541,5,1,17
ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,ABC PRE-SCHOOL & KINDERGARTEN CENTER CORP.,66-20,LAUREL HILL BOULEVARD,QUEENS,11377,"66-20 LAUREL HILL BOULEVARD,QUEENS 11377",OK,66-20 LAUREL HILL BOULEVARD,QUEENS,11377,402,QN1,40.739748,-73.898266,4024190034,718-672-2424,2249,5/23/2025,Permitted,2 YEARS - 5 YEARS,131,DC1155,PRESCHOOL,GDC,Child Care - Pre School,4056053,abcpreschoolcorp.com,5/23/2003,N,0,21.905,23,11.9769,0,6.1285,0,18.9541,5,1,17
ABC SUMMER RECREATION PROGRAM,ASSOCIATION TO BENEFIT CHILDREN,1841,PARK AVENUE,MANHATTAN,10035,"1841 PARK AVENUE,MANHATTAN 10035",OK,1841 PARK AVENUE,MANHATTAN,10035,111,MN6,40.80582,-73.938463,1017750001,646-459-6175,33906,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,98,DC23611,ALL AGE CAMP,Camp,Camp,1054495,www.a-b-c.org,6/5/2013,N,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
ABR PROSPECT  LLC,ABR PROSPECT LLC,243,ST MARKS AVENUE,BROOKLYN,11238,"243 ST MARKS AVENUE,BROOKLYN 11238",OK,243 ST MARKS AVENUE,BROOKLYN,11238,308,BK3,40.678325,-73.967452,3011450068,917-478-2511,105304,3/19/2023,Expired-In Renewal,0 YEARS - 2 YEARS,36,DC34761,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,3028206,,3/19/2021,Y,40,17.4391,11,8.4034,0,4.9984,40,15.3835,6,2,34
ABR Prospect LLC,ABR Prospect LLC,243,St. Marks  Avenue,BROOKLYN,11238,"243 St. Marks  Avenue,BROOKLYN 11238",OK,243 ST MARKS AVENUE,BROOKLYN,11238,308,BK3,40.678325,-73.967452,3011450068,917-478-2511,105498,9/3/2023,Permitted,2 YEARS - 5 YEARS,104,DC34781,PRESCHOOL,GDC,Child Care - Pre School,3028206,,9/3/2021,Y,40,21.905,7,11.9769,0,6.1285,40,18.9541,5,1,17
ACADEMY FOR YOUNG MINDS,THERACARE PRESCHOOL SERVICES INC.,1120,46TH RD,QUEENS,11101,"1120 46TH RD,QUEENS 11101",OK,1120 46 ROAD,QUEENS,11101,402,QN1,40.745576,-73.94984,4000560036,646-670-5999,105539,1/1/1900,Active,3 YEARS - 5 YEARS,0,DC40738,PRESCHOOL,SBCC,School Based Child Care,4000479,,,,0,45.1817,0,8.0094,0,23.3017,0,35.2291,8,4,136
ACADEMY OF EXCELLENCE BELL PARK,"BELL PARK CHILD CARE CENTER, INC.",178-36,WEXFORD  TERRACE,QUEENS,11432,"178-36 WEXFORD  TERRACE,QUEENS 11432",OK,178-36 WEXFORD TERRACE,QUEENS,11432,408,QN3,40.713508,-73.784561,4099377501,718-523-4400,39657,5/9/2025,Permitted,2 YEARS - 5 YEARS,134,DC25095,PRESCHOOL,GDC,Child Care - Pre School,4534092,www.aoeschool.com,5/9/2013,Y,16.6667,21.905,21,11.9769,0,6.1285,16.6667,18.9541,5,1,17
"ACADEMY OF HELLENIC PAIDEIA, INC","ACADEMY OF HELLENIC PAIDEIA, INC",25-50,Crescent Street,QUEENS,11102,"25-50 Crescent Street,QUEENS 11102",OK,25-50 CRESCENT STREET,QUEENS,11102,401,QN1,40.772155,-73.92224,4008727502,718-606-9005,104953,7/11/2023,Permitted,2 YEARS - 5 YEARS,44,DC38209,PRESCHOOL,GDC,Child Care - Pre School,4541406,,7/11/2019,Y,0,21.905,8,11.9769,0,6.1285,0,18.9541,5,1,17
ACADEMY OF ST. DOROTHY SCHOOL,INSTITUTE OF THE SISTERS OF ST. DOROTHY  ',1305,HYLAN BOULEVARD,STATEN ISLAND,10305,"1305 HYLAN BOULEVARD,STATEN ISLAND 10305",OK,1305 HYLAN BOULEVARD,STATEN IS,10305,502,SI1,40.597129,-74.085237,5032150001,718-351-0939,,2/24/2116,Active,3 YEARS - 5 YEARS,0,DC1375,PRESCHOOL,SBCC,School Based Child Care,5107505,www.archny.org/education,,,50,45.1817,1,8.0094,0,23.3017,50,35.2291,8,4,136
ACADEMY OF ST. JOSEPH PRESCHOOL,ARCHDIOCESE OF NEW YORK-ACADEMY OF ST. JOSEPH,111,WASHINGTON PLACE,MANHATTAN,10014,"111 WASHINGTON PLACE,MANHATTAN 10014",OK,111 WASHINGTON PLACE,MANHATTAN,10014,102,MN1B,40.732588,-74.00105,1005920072,212-243-5420,,1/23/2115,Active,2 YEARS - 5 YEARS,25,DC2574,PRESCHOOL,SBCC,School Based Child Care,1010253,www.archny.org/education,,,0,45.1817,2,8.0094,0,23.3017,0,35.2291,5,4,24
ACH TOV VCHESED,ACH TOV VCHESED,27,SKILLMAN STREET,BROOKLYN,11205,"27 SKILLMAN STREET,BROOKLYN 11205",OK,27 SKILLMAN STREET,BROOKLYN,11205,303,BK1,40.697826,-73.957748,3018860014,718-384-1652,,1/23/2115,Active,2 YEARS - 5 YEARS,0,DC23137,PRESCHOOL,SBCC,School Based Child Care,3054228,,,,,,5,8.0094,,,,,5,4,24
ACHEINU DAY CAMP,"ACHEINU DAY CAMP, INC.",83-06,ABINGDON ROAD,QUEENS,11415,"83-06 ABINGDON ROAD,QUEENS 11415",OK,83-06 ABINGDON ROAD,QUEENS,11415,409,QN4,40.707795,-73.833828,4033290011,718-787-2267,34215,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,750,DC23374,ALL AGE CAMP,Camp,Camp,4437658,CAMPACHEINU.COM,6/24/2013,N,33.3333,26.8868,0,1,33.3333,14.2558,33.3333,21.8553,7,3,68
ACORN ADVENTURE KIDS,WELL BULL GROUPS INC,71-33,162 STREET,QUEENS,11365,"71-33 162 STREET,QUEENS 11365",OK,71-33 162 STREET,QUEENS,11365,408,QN3,40.729534,-73.807211,4068017505,646-209-2665,105891,12/30/2024,Permitted,2 YEARS - 5 YEARS,38,DC41366,PRESCHOOL,GDC,Child Care - Pre School,4546124,,12/30/2022,Y,100,21.905,6,11.9769,0,6.1285,100,18.9541,5,1,17
ACTION NURSERY,"ACTION NURSERY, INC.",1019,46 STREET,BROOKLYN,11219,"1019 46 STREET,BROOKLYN 11219",OK,1019 46 STREET,BROOKLYN,11219,312,BK4,40.640388,-73.996451,3056140042,718-854-7777,4022,3/11/2023,Expired-In Renewal,2 YEARS - 5 YEARS,35,DC962,PRESCHOOL,GDC,Child Care - Pre School,3136635,,3/11/2005,N,20,21.905,5,11.9769,0,6.1285,20,18.9541,5,1,17
ADAPT COMMUNITY NETWORK,"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC.",63-25,DRY HARBOR ROAD,QUEENS,11379,"63-25 DRY HARBOR ROAD,QUEENS 11379",OK,63-25 DRY HARBOR ROAD,QUEENS,11379,405,QN2,40.721488,-73.873914,4029930012,718-639-9750,105306,3/22/2025,Permitted,2 YEARS - 5 YEARS,112,DC38367,PRESCHOOL,GDC,Child Care - Pre School,4069277,www.adaptcommunitynetwork.org,3/22/2021,Y,50,21.905,14,11.9769,0,6.1285,50,18.9541,5,1,17
Adapt Community Network,United Cerebral Palsy of NYC,420,95 STREET,BROOKLYN,11209,"420 95 STREET,BROOKLYN 11209",OK,420 95 STREET,BROOKLYN,11209,310,BK4,40.615437,-74.03067,3061230028,718-680-9751,105470,8/18/2023,Permitted,2 YEARS - 5 YEARS,271,DC38402,PRESCHOOL,GDC,Child Care - Pre School,3329016,,8/18/2021,Y,100,21.905,20,11.9769,0,6.1285,100,18.9541,5,1,17
ADAPT COMMUNITY NETWORK,UNITED CEREBRAL PALSY OF NYC,146-28,JASMINE AVENUE,QUEENS,11355,"146-28 JASMINE AVENUE,QUEENS 11355",OK,146-28 JASMINE AVENUE,QUEENS,11355,407,QN3,40.752963,-73.814087,4052140013,718-352-0104,105153,3/12/2024,Permitted,2 YEARS - 5 YEARS,176,DC38366,PRESCHOOL,GDC,Child Care - Pre School,4117799,,3/12/2020,Y,0,21.905,24,11.9769,0,6.1285,0,18.9541,5,1,17
