address
"125 WEST 109 STREET,MANHATTAN 10025"
"258 WEST 26TH STREET,MANHATTAN 10001"
"20090 Borden  Avenue,QUEENS 11101"
"100 JEROME AVENUE,STATEN ISLAND 10305"
"1169 43RD STREET,BROOKLYN 11219"
"631 East 18th Street,BROOKLYN 11226"
"29-49 GILLMORE STREET,QUEENS 11369"
"3415 NEPTUNE AVENUE,BROOKLYN 11224"
"193-04 JAMAICA AVENUE,QUEENS 11423"
"299 COURT ST,BROOKLYN 11231"
"841 OCEAN PKWY.,BROOKLYN 11230"
"36 SAINT FELIX STREET,BROOKLYN 11217"
"412 KINGS HIGHWAY,BROOKLYN 11223"
"560 WEST 113 STREET,MANHATTAN 10025"
"101 WEST 85 STREET,MANHATTAN 10024"
"52 EAST 62 STREET,MANHATTAN 10065"
"1187 NOSTRAND AVENUE,BROOKLYN 11225"
"331 East 150 Street,BRONX 10451"
"75-02 51 AVENUE,QUEENS 11373"
"941 HUTCHINSON RIVER PARKWAY,BRONX 10465"
"1595 LEXINGTON  AVENUE,MANHATTAN 10029"
"6363 AVENUE U,BROOKLYN 11234"
"109 EAST 50 STREET,MANHATTAN 10022"
"64-41 UTOPIA PKWY.,QUEENS 11365"
"170-10 130 AVENUE,QUEENS 11434"
"7501 31ST AVE,QUEENS 11370"
"400 West 63 street,MANHATTAN 10069"
"125 5TH AVENUE,BROOKLYN 11217"
"8416 19 AVENUE,BROOKLYN 11214"
"2813 FARRAGUT ROAD,BROOKLYN 11210"
"1646 MONTGOMERY AVENUE,BRONX 10453"
"300 MANHATTAN AVENUE,MANHATTAN 10026"
"63-25 DRY HARBOR ROAD,QUEENS 11379"
"800 CONCOURSE VILLAGE EAST,BRONX 10451"
"61 HAVEN AVE.,MANHATTAN 10032"
"39-50 DOUGLASTON PARKWAY,QUEENS 11363"
"344 EAST 14 STREET,MANHATTAN 10003"
"554 FORT WASHINGTON AVENUE,MANHATTAN 10033"
"225 EAST 38TH STREET,MANHATTAN 10016"
"803 Knickerbocker Avenue,BROOKLYN 11207"
"2090 1 AVENUE,MANHATTAN 10029"
"12 Newell Street,BROOKLYN 11222"
"2075 JEROME AVENUE,BRONX 10453"
"1395 LEXINGTON AVENUE,MANHATTAN 10128"
"606 WEST   57 STREET,MANHATTAN 10019"
"170 BROWN PLACE,BRONX 10454"
"30 WEST 68TH STREET,MANHATTAN 10023"
"60 HAVEN AVENUE,MANHATTAN 10032"
"141-29 84TH DRIVE,QUEENS 11435"
"277 3RD AVENUE,BROOKLYN 11215"
"2167 UNIVERSITY AVENUE,BRONX 10453"
"77-14 ROOSEVELT AVENUE,QUEENS 11372"
"143-30 Rose Avenue,QUEENS 11355"
"609 JACKSON AVENUE,BRONX 10455"
"10510 FLATLANDS AVENUE,BROOKLYN 11236"
"180 Livingston Street,BROOKLYN 11201"
"55 WYONA AVENUE,STATEN ISLAND 10314"
"13-21 College Point Boulevard,QUEENS 11356"
"2739 BEDFORD AVENUE,BROOKLYN 11210"
"1163 LENOX ROAD,BROOKLYN 11212"
"1083 ALLERTON AVENUE,BRONX 10469"
"1218 PROSPECT AVENUE,BROOKLYN 11218"
"317 ROGERS AVENUE,BROOKLYN 11225"
"454 PENNSYLVANIA AVE,BROOKLYN 11207"
"31-36 88 STREET,QUEENS 11369"
"63-08 69 PLACE,QUEENS 11379"
"541 KNICKERBOCKER AVENUE,BROOKLYN 11221"
"145-38 34  Avenue,QUEENS 11354"
"1724-26 MADISON AVENUE,MANHATTAN 10029"
"816 CLARENCE AVE,BRONX 10465"
"2863 WEBSTER AVENUE,BRONX 10458"
"83-38 CORNISH AVENUE,QUEENS 11373"
"3306 88TH ST,QUEENS 11372"
"389 SEAVER AVENUE,STATEN ISLAND 10305"
"339 8TH STREET,BROOKLYN 11215"
"311 Greenwich  Street,MANHATTAN 10013"
"85 Adams Street,BROOKLYN 11201"
"61-30 GRAND AVENUE,QUEENS 11378"
"260 EASTERN PARKWAY,BROOKLYN 11225"
"258 WEST 26TH STREET,MANHATTAN 10001"
"2571 E 17TH ST,BROOKLYN 11235"
"540 West 53 Street,MANHATTAN 10019"
"2901 White Plains Road,BRONX 10467"
"1271 EAST   35 STREET,BROOKLYN 11210"
"532 WEST  215 STREET,MANHATTAN 10034"
"1180 East 214 Street,BRONX 10469"
"609 JACKSON AVE,BRONX 10455"
"331 EAST  150 STREET,BRONX 10451"
"695 PARK AVENUE,MANHATTAN 10065"
"76 LORRAINE STREET,BROOKLYN 11231"
"86-29 COMMONWEALTH BLVD,QUEENS 11426"
"2380 MARION AVENUE,BRONX 10458"
"116 Dooley Street,BROOKLYN 11235"
"575 Soundview Avenue,BRONX 10473"
"2300 WESTCHESTER AVENUE,BRONX 10462"
"604 WEST 227TH STREET,BRONX 10463"
"93 ST MARK'S PLACE,MANHATTAN 10009"
"560 RIVERSIDE DRIVE,MANHATTAN 10027"
"58 Belmont  Avenue,BROOKLYN 11212"
"106-06 QUEENS BOULEVARD,QUEENS 11375"
"44 EAST    2 STREET,MANHATTAN 10003"
"114 WEST 91 STREET,MANHATTAN 10024"
"35-50 158 STREET,QUEENS 11358"
"556 Columbia Street,BROOKLYN 11231"
"127-08 MERRICK BLVD.,QUEENS 11434"
"139-76 85 DRIVE,QUEENS 11435"
"1169 43RD STREET,BROOKLYN 11219"
"345 EAST 86TH STREET,MANHATTAN 10028"
"148 BEACH 59 STREET,QUEENS 11692"
"1824 53 STREET,BROOKLYN 11204"
"992 GATES AVENUE,BROOKLYN 11221"
"109 EAST 60 STREET,MANHATTAN 10022"
"852 CLASSON AVENUE,BROOKLYN 11238"
"49 BROADWAY,BROOKLYN 11249"
"110 BLEECKER STREET,MANHATTAN 10012"
"410 EAST 92 STREET,MANHATTAN 10128"
"324 WEST 15 STREET,MANHATTAN 10011"
"129 West  138 Street,MANHATTAN 10030"
"4300 BAYCHESTER AVENUE,BRONX 10466"
"916 58 STREET,BROOKLYN 11219"
"1770 DAVIDSON AVENUE,BRONX 10453"
"251 WEST 100 STREET,MANHATTAN 10025"
"27-59 CRESCENT STREET,QUEENS 11102"
"47-05 104 STREET,QUEENS 11368"
"309 Grand  Avenue,BROOKLYN 11238"
"4020 EAST TREMONT AVENUE,BRONX 10465"
"77-42 164 STREET,QUEENS 11366"
"35-34 105TH STREET,QUEENS 11368"
"209-15 HORACE HARDING EXPRESSWAY,QUEENS 11364"
"86-20 114 STREET,QUEENS 11418"
"31-57 31ST ST,QUEENS 11106"
"171 EAST DR,BROOKLYN 11226"
"142-10 Sanford Avenue,QUEENS 11355"
"578 E 138TH ST,BRONX 10454"
"225 EAST 43 STREET,MANHATTAN 10017"
"900 EAST 233RD STREET,BRONX 10466"
"844 Dekalb  Avenue,BROOKLYN 11221"
"82-02 GRAND AVENUE,QUEENS 11373"
"72-34 MAIN STREET,QUEENS 11367"
"60 HARRISON AVENUE,BROOKLYN 11211"
"904 Morris Park Avenue,BRONX 10462"
"2331 UNIVERSITY AVENUE,BRONX 10468"
"1950 BEDFORD AVENUE,BROOKLYN 11225"
"526 E 14TH ST,MANHATTAN 10009"
"30 PEARL STREET,BROOKLYN 11201"
"16 Osgood  Avenue,STATEN ISLAND 10304"
"36 FORD STREET,BROOKLYN 11213"
"910 9TH AVENUE,MANHATTAN 10019"
"2050 BENEDICT AVENUE,BRONX 10462"
"990 PELHAM PARKWAY SOUTH,BRONX 10461"
"81-07 NORTHERN BOULEVARD,QUEENS 11372"
"2778 BRUCKNER BOULEVARD,BRONX 10465"
"432 Rutland Road,BROOKLYN 11203"
"100 WEST 89TH STREET,MANHATTAN 10024"
"195 GORDON STREET,STATEN ISLAND 10304"
"85-27 91 STREET,QUEENS 11421"
"117 S 3RD ST,BROOKLYN 11249"
"1401 FLATBUSH AVENUE,BROOKLYN 11210"
"638 BEDFORD AVENUE,BROOKLYN 11249"
"374 PINE STREET,BROOKLYN 11208"
"525 WEST 120TH STREET,MANHATTAN 10027"
"3450 DEKALB AVENUE,BRONX 10467"
"61-30 GRAND AVENUE,QUEENS 11378"
"99 JOHN ST,MANHATTAN 10038"
"54 NAGLE AVENUE,MANHATTAN 10040"
"104-19 49 AVENUE,QUEENS 11368"
"130 EAST 16TH STREET,MANHATTAN 10003"
"423 EAST 138 STREET,BRONX 10454"
"200 BOSCOMBE AVENUE,STATEN ISLAND 10309"
"450 CASTLE HILL AVENUE,BRONX 10473"
"4105 FORT HAMILTON PARKWAY,BROOKLYN 11219"
"323 EAST 47 STREET,MANHATTAN 10017"
"5959 BROADWAY,BRONX 10463"
"745 7TH AVENUE,MANHATTAN 10019"
"435 EAST 70 STREET,MANHATTAN 10021"
"98-25 HORACE HARDING EXPRESSWAY,QUEENS 11368"
"230 WEST 13 STREET,MANHATTAN 10011"
"655 MORRIS AVENUE,BRONX 10451"
"1565 MADISON AVENUE,MANHATTAN 10029"
"700 ROSEWOOD STREET,BRONX 10467"
"2627 2 Street,QUEENS 11102"
"5015 6TH AVE,BROOKLYN 11220"
"319 STANHOPE STREET,BROOKLYN 11237"
"35-10 156 STREET,QUEENS 11354"
"3463-67 3 AVENUE,BRONX 10456"
"5470 BROADWAY,BRONX 10463"
"180 SUFFOLK STREET,MANHATTAN 10002"
"4419 7 AVENUE,BROOKLYN 11220"
"295 WEST 231ST STREET,BRONX 10463"
"2940 East 194 Street,BRONX 10461"
"1247 38 STREET,BROOKLYN 11218"
"220-24 JAMAICA AVENUE,QUEENS 11428"
"1185 EAST 223RD STREET,BRONX 10466"
"1140 EAST 229TH STREET,BRONX 10466"
"9130 AVENUE L,BROOKLYN 11236"
"292 COURT STREET,BROOKLYN 11231"
"10235 63RD RD,QUEENS 11375"
"433 E 148TH ST,BRONX 10455"
"68-05 64TH PLACE,QUEENS 11385"
"147-02 73 AVENUE,QUEENS 11367"
"20 WATERSIDE PLAZA,MANHATTAN 10010"
"150-03 BAYSIDE AVENUE,QUEENS 11354"
"253 EAST 142 STREET,BRONX 10451"
"154-24 26 AVENUE,QUEENS 11354"
"33-06 88 STREET,QUEENS 11372"
"526 E 14TH ST,MANHATTAN 10009"
"225 EAST 38 STREET,MANHATTAN 10016"
"34-10 108TH STREET,QUEENS 11368"
"343 WARREN STREET,BROOKLYN 11201"
"2433 OCEAN PARKWAY,BROOKLYN 11235"
"250 UTICA AVENUE,BROOKLYN 11213"
"34-57 FRANCIS LEWIS BOULEVARD,QUEENS 11358"
"40-69 94 STREET,QUEENS 11373"
"35-19 LEAVITT ST,QUEENS 11354"
"90-20 55 AVENUE,QUEENS 11373"
"121 EAST 177 STREET,BRONX 10453"
"775 COLUMBUS AVE,MANHATTAN 10025"
"352 Classon Avenue,BROOKLYN 11238"
"187-10 HILLSIDE AVENUE,QUEENS 11432"
"2340 CAMBRELENG AVENUE,BRONX 10458"
"69-02 64 STREET,QUEENS 11385"
"747 AMSTERDAM AVENUE,MANHATTAN 10025"
"77 MARKET STREET,MANHATTAN 10002"
"10 WITHERS ST,BROOKLYN 11211"
"1825 BATH AVENUE,BROOKLYN 11214"
"314 PACIFIC ST,BROOKLYN 11201"
"2340 ANDREWS AVENUE,BRONX 10468"
"1911 HONE AVENUE,BRONX 10461"
"116-33 SUTPHIN  BOULEVARD,QUEENS 11434"
"409 EAST 60TH STREET,MANHATTAN 10022"
"950 BAYCHESTER AVENUE,BRONX 10475"
"81-10 35 AVENUE,QUEENS 11372"
"109-45 207 STREET,QUEENS 11429"
"5801 136TH ST,QUEENS 11355"
"2885 SAINT THERESA AVENUE,BRONX 10461"
"4 EAST   90 STREET,MANHATTAN 10128"
"21 SNYDER AVENUE,BROOKLYN 11226"
"4202 8TH  AVENUE,BROOKLYN 11232"
"213-41 40 AVENUE,QUEENS 11361"
"413 EAST 241 STREET,BRONX 10470"
"86-28 FRANCIS LEWIS BLVD.,QUEENS 11427"
"1 WEST 112 STREET,MANHATTAN 10026"
"811 54 STREET,BROOKLYN 11220"
"144-61 ROOSEVELT AVENUE,QUEENS 11354"
"600 NEW YORK AVE,BROOKLYN 11203"
"3732 10TH AVENUE,MANHATTAN 10034"
"55 HANSON PLACE,BROOKLYN 11217"
"133-40 79  Street,QUEENS 11414"
"206 WILSON STREET,BROOKLYN 11211"
"739 EAST NEW YORK AVENUE,BROOKLYN 11203"
"2 FIFTH AVENUE,MANHATTAN 10011"
"404 WEST 116 STREET,MANHATTAN 10027"
"309 GRAND AVENUE,BROOKLYN 11238"
"127 WEST 94TH STREET,MANHATTAN 10025"
"3816 WALDO AVENUE,BRONX 10463"
"77-83 STAGG STREET,BROOKLYN 11206"
"622 Amsterdam Avenue,MANHATTAN 10024"
"118-17 GUY R BREWER BOULEVARD,QUEENS 11434"
"86-02 57 AVENUE,QUEENS 11373"
"527 EASTERN PARKWAY,BROOKLYN 11216"
"207 BEACH 73 STREET,QUEENS 11692"
"5720 MOSHOLU AVENUE,BRONX 10471"
"1012 BAY RIDGE AVE,BROOKLYN 11219"
"160 WEST 74 STREET,MANHATTAN 10023"
"151-15 85 DRIVE,QUEENS 11432"
"212 HICKS STREET,BROOKLYN 11201"
"86-06 135TH STREET,QUEENS 11418"
"59-03 SUMMERFIELD STREET,QUEENS 11385"
"2700 LINDEN BOULEVARD,BROOKLYN 11208"
"610 WEST 112 STREET,MANHATTAN 10025"
"118 St.  Nicholas Avenue,BROOKLYN 11237"
"117 UNION ST,BROOKLYN 11231"
"5411 AMBOY ROAD,STATEN ISLAND 10312"
"924 74TH ST,BROOKLYN 11228"
"2170 MCDONALD AVENUE,BROOKLYN 11223"
"390 JACKSON AVENUE,BRONX 10454"
"375 EAST 143RD STREET,BRONX 10454"
"1266 PROSPECT AVENUE,BROOKLYN 11218"
"5 WEST 63 STREET,MANHATTAN 10023"
"90 Watkins   Street,BROOKLYN 11212"
"2121 WASHINGTON AVENUE,BRONX 10457"
"601 WEST 186TH  STREET,MANHATTAN 10033"
"1520 YORK AVENUE,MANHATTAN 10028"
"888 MAIN STREET,MANHATTAN 10044"
"83 MARLBOROUGH ROAD,BROOKLYN 11226"
"1401 FLATBUSH AVE,BROOKLYN 11210"
"1230 YORK AVE,MANHATTAN 10065"
"89-00 23 Avenue,QUEENS 11369"
"2734 VICTORY BOULEVARD,STATEN ISLAND 10314"
"2074 STRANG AVENUE,BRONX 10466"
"812 MYRTLE AVENUE,BROOKLYN 11206"
"343 WARREN STREET,BROOKLYN 11201"
"5464 KINGS HIGHWAY,BROOKLYN 11203"
"1300 209TH ST,QUEENS 11360"
"275 WALKER STREET,STATEN ISLAND 10303"
"339 8TH STREET,BROOKLYN 11215"
"81-05 101 AVENUE,QUEENS 11416"
"58-20 LITTLE NECK PARKWAY,QUEENS 11362"
"456-29 150 Street,QUEENS 11357"
"131 ST NICHOLAS AVENUE,MANHATTAN 10026"
"729 CARROLL STREET,BROOKLYN 11215"
"1529 BATH AVENUE,BROOKLYN 11228"
"197 EAST BROADWAY,MANHATTAN 10002"
"489 ST. PAULS PLACE,BRONX 10456"
"309 ST PAUL'S AVENUE,STATEN ISLAND 10304"
"86-25 162 STREET,QUEENS 11432"
"4020 EAST TREMONT AVENUE,BRONX 10465"
"80 BAY STREET,STATEN ISLAND 10301"
"4545 CENTER BLVD,QUEENS 11109"
"206 5TH AVE,MANHATTAN 10010"
"900 LENOX ROAD,BROOKLYN 11203"
"1332 FULTON AVENUE,BRONX 10456"
"639 EDGECOMBE AVENUE,MANHATTAN 10032"
"73-20 BELL BLVD.,QUEENS 11364"
"300 MANHATTAN AVE,MANHATTAN 10026"
"888 WESTCHESTER AVENUE,BRONX 10459"
"4545 INDEPENDENCE AVENUE,BRONX 10471"
"4315 16TH AVE,BROOKLYN 11204"
"402 56TH STREET,BROOKLYN 11220"
"5601 4TH AVENUE,BROOKLYN 11220"
"963 PARK PLACE,BROOKLYN 11213"
"179-14 DALNY ROAD,QUEENS 11432"
"141-19 224 STREET,QUEENS 11413"
"3980 ORLOFF AVENUE,BRONX 10463"
"91-10 146 STREET,QUEENS 11435"
"459 3rd Avenue,BROOKLYN 11215"
"86-25 162 STREET,QUEENS 11432"
"585 MARCY AVE,BROOKLYN 11206"
"375 PEARL STREET,BROOKLYN 11201"
"799 KENT  AVENUE,BROOKLYN 11205"
"401 WEST 205 STREET,MANHATTAN 10034"
"2211 CONEY ISLAND AVENUE,BROOKLYN 11223"
"711 MANIDA STREET,BRONX 10474"
"91-10 146 STREET,QUEENS 11435"
"910 9TH AVENUE,MANHATTAN 10019"
"459 WEST 26 STREET,MANHATTAN 10001"
"420 95 STREET,BROOKLYN 11209"
"333 CLASSON AVENUE,BROOKLYN 11205"
"2836 WEBB AVENUE,BRONX 10468"
"108-22 69 AVENUE,QUEENS 11375"
"510-516 WEST 145TH STREET,MANHATTAN 10031"
"3365 THIRD AVE,BRONX 10456"
"253-01 NORTHERN BLVD.,QUEENS 11362"
"525 WEST 120TH STREET,MANHATTAN 10027"
"195-201 CONSELYEA STREET,BROOKLYN 11211"
"565 LIVONIA AVENUE,BROOKLYN 11207"
"924 TELLER AVENUE,BRONX 10451"
"105 Kings Highway,BROOKLYN 11214"
"882 FULTON ST,BROOKLYN 11238"
"100-120 EAST MOUNT EDEN AVENUE,BRONX 10452"
"2813 FARRAGUT ROAD,BROOKLYN 11210"
"297 AVENUE X,BROOKLYN 11223"
"749 EAST 163RD STREET,BRONX 10456"
"525 PARKSIDE AVENUE,BROOKLYN 11226"
"1904 AVENUE N,BROOKLYN 11230"
"241 KEAP STREET,BROOKLYN 11211"
"175 KENT AVENUE,BROOKLYN 11249"
"136-58 41 AVENUE,QUEENS 11355"
"25 Market  Street,MANHATTAN 10002"
"536 WEST   26 STREET,MANHATTAN 10001"
"2975 INDEPENDENCE AVENUE,BRONX 10463"
"184 ELDRIDGE STREET,MANHATTAN 10002"
"1600 CROTONA PARK EAST,BRONX 10460"
"25 Chapel Street,BROOKLYN 11201"
"365 Beach 57th Street,QUEENS 11692"
"76-01 147 Street,QUEENS 11367"
"94-43 159 STREET,QUEENS 11433"
"607 PROSPECT AVENUE,BRONX 10455"
"243 St. Marks  Avenue,BROOKLYN 11238"
"53 WALTON STREET,BROOKLYN 11206"
"3471 FENTON AVENUE,BRONX 10469"
"58-20 LITTLE NECK PARKWAY,QUEENS 11362"
"83-11 Brevoort   Street,QUEENS 11415"
"2100 WALLACE AVENUE,BRONX 10462"
"132-54 POPLE AVENUE,QUEENS 11355"
"388 GREENWICH STREET,MANHATTAN 10013"
"950 WESTCHESTER AVENUE,BRONX 10459"
"187-01 FOCH BOULEVARD,QUEENS 11412"
"125 WALKER STREET,MANHATTAN 10013"
"14627 BEECH AVE,QUEENS 11355"
"112-06 SUTPHIN BOULEVARD,QUEENS 11435"
"19-79 38th  Street,QUEENS 11105"
"257 GOLD ST,BROOKLYN 11201"
"435 EAST 70TH STREET,MANHATTAN 10021"
"2465 BATHGATE AVENUE,BRONX 10458"
"2150 LINDEN BOULEVARD,BROOKLYN 11207"
"319 EAST 74 STREET,MANHATTAN 10021"
"440 LENOX ROAD,BROOKLYN 11203"
"506 6TH AVENUE,BROOKLYN 11215"
"237 PARK PLACE,BROOKLYN 11238"
"127-08 MERRICK BLVD.,QUEENS 11434"
"44-15 JUDGE STREET,QUEENS 11373"
"712 BEDFORD AVENUE,BROOKLYN 11206"
"241-15 NORTH CONDUIT AVENUE,QUEENS 11422"
"132-45 CROSSBAY BOULEVARD,QUEENS 11417"
"1732 DAVIDSON AVE,BRONX 10453"
"4206-10 15 AVENUE,BROOKLYN 11219"
"1420 BURKE AVENUE,BRONX 10469"
"285 CLOVE ROAD,STATEN ISLAND 10310"
"325 WEST 85 STREET,MANHATTAN 10024"
"559 EAST TREMONT AVE,BRONX 10457"
"990 HYLAN BOULEVARD,STATEN ISLAND 10305"
"324 WEST 15 STREET,MANHATTAN 10011"
"556 5TH AVENUE,BROOKLYN 11215"
"337 2ND AVENUE,MANHATTAN 10003"
"2697 Broadway,MANHATTAN 10025"
"123 EAST 55 STREET,MANHATTAN 10022"
"140-22 BEECH AVENUE,QUEENS 11355"
"3511 CAMBRIDGE AVE,BRONX 10463"
"250 RALPH AVENUE,BROOKLYN 11233"
"10 WEST 84 STREET,MANHATTAN 10024"
"1175 GATES AVENUE,BROOKLYN 11221"
"64-11 FLEET STREET,QUEENS 11374"
"33-06 88 STREET,QUEENS 11372"
"50-08 39 STREET,QUEENS 11104"
"154 HESTER STREET,MANHATTAN 10013"
"135 Plymouth Street,BROOKLYN 11201"
"301B WEST 130 STREET,MANHATTAN 10027"
"1350 50 STREET,BROOKLYN 11219"
"111A 11TH AVENUE,MANHATTAN 10011"
"232 POWELL STREET,BROOKLYN 11212"
"814 Marcy Avenue,BROOKLYN 11216"
"681 KELLY STREET,BRONX 10455"
"55 HUDSON STREET,MANHATTAN 10013"
"55 BETHUNE STREET,MANHATTAN 10014"
"92-10 217 STREET,QUEENS 11428"
"6202 15TH AVE,BROOKLYN 11219"
"151-15 85 DRIVE,QUEENS 11432"
"245 86th Street,BROOKLYN 11209"
"189-26 LINDEN BLVD.,QUEENS 11412"
"992 GATES AVENUE,BROOKLYN 11221"
"75-43 Parsons Blvd FL2,QUEENS 11366"
"40 LYNCH STREET,BROOKLYN 11206"
"5902 6 AVENUE,BROOKLYN 11220"
"4815 14th Avenue,BROOKLYN 11219"
"323 GRAND STREET,MANHATTAN 10002"
"275 MARTLING AVENUE,STATEN ISLAND 10314"
"61-58 SPRINGFIELD BOULEVARD,QUEENS 11364"
"1465 WEBSTER AVENUE,BRONX 10456"
"2817 WEST 12TH STREET,BROOKLYN 11224"
"109-60 202 STREET,QUEENS 11412"
"1466 MANOR ROAD,STATEN ISLAND 10314"
"425 Rogers  Avenue,BROOKLYN 11225"
"83-78 DANIELS STREET,QUEENS 11435"
"65-21 ROOSEVELT AVE,QUEENS 11377"
"35-59 81ST STREET,QUEENS 11372"
"316 EAST 88 STREET,MANHATTAN 10128"
"634 Clove Road,STATEN ISLAND 10310"
"1181 EAST NEW YORK AVENUE,BROOKLYN 11212"
"61-58 SPRINGFIELD BOULEVARD,QUEENS 11364"
"84-05 78 AVENUE,QUEENS 11385"
"4123 AVENUE U,BROOKLYN 11234"
"108 AVENUE D,MANHATTAN 10009"
"1349 47 STREET,BROOKLYN 11219"
"1379 WEST 7TH STREET,BROOKLYN 11204"
"2081 SECOND AVENUE,MANHATTAN 10029"
"47-49 162 STREET,QUEENS 11358"
"1723 8 AVENUE,BROOKLYN 11215"
"63-25 69 Street,QUEENS 11379"
"114-36 FRANCIS LEWIS BOULEVARD,QUEENS 11411"
"360 NEPTUNE AVENUE,BROOKLYN 11235"
"4 East  90  Street,MANHATTAN 10128"
"3261 3 AVENUE,BRONX 10456"
"2169 CONEY ISLAND AVENUE,BROOKLYN 11223"
"2331 Eastchester Road,BRONX 10469"
"1144 EVERGREEN AVENUE,BRONX 10472"
"5805 7TH AVENUE,BROOKLYN 11220"
"1775 York  Avenue,MANHATTAN 10128"
"1 WEST 91ST STREET,MANHATTAN 10024"
"64-01 102 STREET,QUEENS 11374"
"2023 PACIFIC STREET,BROOKLYN 11233"
"382 WILLOUGHBY AVENUE,BROOKLYN 11205"
"450 KENT AVENUE,BROOKLYN 11249"
"2007 LINDEN BOULEVARD,BROOKLYN 11207"
"1399 OGDEN AVENUE,BRONX 10452"
"775 COLUMBUS AVENUE,MANHATTAN 10025"
"576 GATES AVENUE,BROOKLYN 11221"
"1624 FIRST AVENUE,MANHATTAN 10028"
"405 MAIN STREET,MANHATTAN 10044"
"520-524 PARK AVENUE,MANHATTAN 10022"
"17 EAST 16TH STREET,MANHATTAN 10003"
"44-11 30 AVENUE,QUEENS 11103"
"1751 PARK AVENUE,MANHATTAN 10035"
"951 EAST   84 STREET,BROOKLYN 11236"
"102-35 63 ROAD,QUEENS 11375"
"241 WATER STREET,MANHATTAN 10038"
"4 WASHINGTON SQUARE VILLAGE,MANHATTAN 10012"
"1111 EAST 89TH STREET,BROOKLYN 11236"
"416 WILLIS AVENUE,BRONX 10454"
"4132 44th St,QUEENS 11104"
"4111 AVENUE J,BROOKLYN 11210"
"1019 46 STREET,BROOKLYN 11219"
"71-91 ARDEN STREET,MANHATTAN 10040"
"1919 CORTELYOU RD,BROOKLYN 11226"
"539 COURT STREET,BROOKLYN 11231"
"1612 QUENTIN ROAD,BROOKLYN 11229"
"4747 AMBOY ROAD,STATEN ISLAND 10312"
"104 West End Avenue,BROOKLYN 11235"
"661 LINDEN BOULEVARD,BROOKLYN 11203"
"3096 BRIGHTON 6TH STREET,BROOKLYN 11235"
"670-680 EAST 219 STREET,BRONX 10467"
"104-70 QUEENS BLVD.,QUEENS 11375"
"559 EAST TREMONT AVE,BRONX 10457"
"63-44 Wetherole Street,QUEENS 11374"
"1325 JEROME AVENUE,BRONX 10452"
